property_address,categories
"office no:- a1-404, 4th floor nr. orchid woods palladium corporate road makarba",commercial unit
"., plot no 10 gata no 919 village chhauchh situated at mohalla shri ram nagar, ., ., ., ., tehsil lakhimpur paragana & district kheri, ., lakhimpur, ., kheri, uttar pradesh, india, 262701",houseorplot
"flat-305,floor-3 shaswat park wing -y s no gat no.71, 65/1a,neardeepak park , walivali ,badlapur (w) badlapur 421503 maharashtra",flat
"mauja birgaon durga, chandrashekhar, ajad ward k 04, ph 101 kh no 287/1014, rnm dharsiwa teh and dist raipur, raipur, raipur, chhattisgarh, india, 492001",houseorplot
"office no. 72, 5th floor, at, at mahal industry estate, plot no.277-533, mahakali caves road, andheri east, plot no. 342-51, mahakali caves road, mahakala caves road, mumbai, andheri east , greater mumbai, suburban, maharashtra, 400093",commercial unit
"house, area measuring 100.33 sq. yd. i.e. 83.88 sq.mt., situated at mauza naina jaat, tehsil & distt. agra",houseorplot
"unit number 614,floor no. 6, soham synerg newtown, soham synerg newtown, ps new town, kolkata 700161, na, itself a landmark, prem no 03-0775, plot no iid, action area ii, north 24 parganas, action area ii, north 24 parganas, west bengal, 700161",flat
"nananaproperty situated at north part of house no. 25 at shivaji nagar, municipal colony, udaipur 313001, 25, shivaji nagar behind natraj dining, shivaji nagar udaipur 313001, udaipur, shivaji nagar, girwa, udaipur, rajasthan, 313001",houseorplot
"property bearing new no-b-468, plot no-68 (part of khasra no-626), second floor without roof, village basai dara pur, sudershan park extn, delhi, delhi, delhi, new delhi, new delhi, delhi, india, 110015",flat
"plot no 50, ganga vihar, extension colony, dewas, dewas, madhya pradesh, india, 455001",houseorplot
"survey no. 4024/3, p.s. bhavanipur, beside community park, guwahati, assam - 369724",landparcel
"flat-617-block-e-type-1-bhk,1b,floor-6 kedarnath tower plot na 0,agra developmentauthority agra 282001 uttar pradesh",flat
property no 42-19-110a/10 2nd cross khb colony bapuji nagar bangalore district,others
372 256 bhaskara rangaiah st near venkatadri school nawabpet gmr house nawabpet near venkatadri school 706 gmr house near venkatadri school,others
"flat-t254,floor-seventh mangalmurti bhavan () plot no 324sector 6sarsolenerul navi mumbai 400706 maharashtra",flat
shop no.114 gharaunda new grain market gharaunda,commercial unit
"10084, 1, khrar, sunny enclave , house no 10084, sunny enclave, khrara, mohali, punjab-140301, 10084, na, house no 10084, sunny enclave, khrara, mohali, punjab-140301, kharar, sunny enclave, s.a.s nagar, punjab, 140301",houseorplot
"flat no b, plot no 449 and 647, ground floor, sre vensi, sri devi karumariamman nagar, korattur, chennai, tamil nadu, india, 600050",flat
"plot no 42 n p, sy no 41 and 51,nagaram village,nagaram municipality,keesara mandal, medchal malkajgiri, hyderabad, telangana, india, 500083",houseorplot
b-1/498 third floor janakpuri new delhi- 110058.,flat
shop no 944 gopalpura by pass jaipur-302020 new atish market near ganga jamuna petrol pump,commercial unit
"na, -, instakart services private limited and shreyash retail private limited, site no.749, pid no. 6000069668, 7th block,, j p nagar 9th phase,sy.no.152 ,raghuvanapalya village ,bengaluru, site no. 409, near nandi gardens phase-612 / h m world city, 7th block, jp nagar 9th phase, bangalore, j p nagar 9th phase, 7th block, raghuvanapalya village , bangalore south, bengaluru urban, karnataka, 560078",commercial unit
"flat-210,floor-2 thanekar civic wing b eureka s no 133/2,next to tharwaniariana , vadavali gaon,chikhloli, badlapur ambarnath 421503 maharashtra",flat
"plot no. 38 & 39, criti care asia hospital, gulmohar road, vile parle, (w), 400049, jvpd scheme, cts no. 484a/14 & 484/1 juhu shopping centre",houseorplot
"s. f. no. 138 / 5, new s. f. no. 138 / 5f, plot no. 09 part, d. no. 597 hosur tk, krishnagiri dt adhiyaman street, mgr nagar, mookandapalli village, hosur town near bhavya store",houseorplot
"flat-604,floor-10 sai krupa plot 847,phase 668 , navade ,panvel panvel 410208 maharashtra",flat
"flat-b401,floor-4 vastuvihar-kh-1 - bldg 20 s no sector 16 & 17,sector 1617,kharghar,navi mumbai panvel 410210 maharashtra",flat
"5155/393/1b/1c,3354/1b theni to cumbum road veerapandi menaka mills private limited, palanichettipatti santhira pandiyan kalyana maha",others
"property being uid no. 586540s0016000rr051a, situated at ander abadi lal dora in village bir baroli, teshil ladwa distt. kurukshetra, measuring 184.600 sq. mtrs and village chakchanpur, bir bhartauli (160), nearby khera mandir & jamidar kirana store, kurukshetra, haryana -136156",houseorplot
shop no b 19 ground vraj landmark 1a vraj s no 74 2 mahsrul behind sharad pawar ma mahsrul nashik nasik maharashtra 422004,commercial unit
"plot no l 058, kensington park, phase 1 situated at, sector 133 jaypee greens, wish town, gautam buddha nagar, uttar pradesh, india, 201301",houseorplot
"r s no 1116/2, advitiya apartment, building a, 4 th floor, flat no 405, a ward karveer, kolhapur, kolhapur, maharashtra, india, 416012",flat
"address:202, 202, 2nd floor, zohara resdincy, flat no.202, second floor, zohara residency, byrasandra, bg road, bangalore 5600041, near green orchard apartment, bhel officers layout, bangalore, jayanagar , bangalore north, bengaluru urban, karnataka, 560041",flat
"shop no.657, and 161, 3rd floor, golden plaza, b/s. raghunandan textile market, ring road, salabatpura, surat-395002",commercial unit
plot no 14 a in scheme ram vihar ram vihar village beed khatipura sirsi road ram vihar village beed khatipura sirsi road jaipur sirsi road 0 ram vihar village beed khatipura sirsi road sirsi road,houseorplot
"unit-898 mithran residency s no 620/1e1, 209/2a2a, 2a2c1,2a2d1, 2b1, 2b4, 2b5achinnavedampatti village,coimbatore north taluk coimbatore 641049 tamil nadu",flat
unit-934/266 rhb - pratap nagar s no sanganer jaipur 302033 rajasthan,others
242-526 800-812 ratakonda reddeppa naidu colony madanapalle chittoor 153-523 madanapalle madanapalle chittoor madanapalle andhra pradesh 517325,others
751 pid no 2581532235 horamavu agara village horamavu agara village bangalore east taluk bangalore,others
243nawada nawada nawada nawada bihar 805110,houseorplot
"c/206, 2nd floor, c wing, sai ashirwad building, village mahim, palghar 401404",flat
"s.no. 279/1, 278/3, 278/1, chettikurichi, kayathar, tuticorin ��� 628552.",landparcel
"row house,row house no 16,plot no 61 to 64,radhakrushna apartment b,d sector nh shravan upendra nagar,near sent lowrence school,nashik,nashik,nashik,maharashtra,422009",houseorplot
na 6 gurukul toewr 1 bijapur bijapur vijayapura bijapur karnataka 586101,flat
"flat-102,floor-1 nyati elite wing d s no 25,hissa no 1/3, nearnyati eternity, undri, pune pune 411060 maharashtra",flat
"shantidham 2, trimurti apartment, shantidham apartment,first floor,flatno.",flat
"house east part of plot 32,sno part of khno 264,colonychoudhary colony,chamdagharmadanganj kishangarh ajmer 305001 rajasthan",houseorplot
"house no-424,khata no-716,,,village pilkhanwali,pargana and tehsil sikandrabad, district,near shiv shakti mandir,bulandshahr,uttar pradesh,203205.",houseorplot
"flat-206,floor-2 pavithra olympus s no 5,,basavanapura villagek.r.puram hobli, bengaluru 573201 karnataka",flat
"row house-on-plot-no-69 nilkanth villey plot 67 to 75,s no 166/1/3behind janannath lawns,mhasrul-adgaon road , mahsrulshiwar , nashik nashik 422003 maharashtra",houseorplot
1 3 pocket iv dda lig flat flat no-331na pocket iv block a??sector g-2 & g-6?? narela north west delhi delhi delhi 110040,flat
"flat-e-1001,floor-10 eldeco fairway reserve tower pinehurst 1 plot gh-02 ,sector 80,manesar gurgaon 122001 haryana",flat
"unit-12 raghukul dhara - 4 s no 815,b/h , jol bus stand ,bakrol-vadtal road , jol anand anand 388315 gujarat",others
"premises no. 37, dwarik jungle street, under uttarpara- kotrung municipality, ward no. 485, p.s.- uttarpara, district hooghly, pin- 712232",flat
shop no- h/314/400 umarwada new textile tower market b/h jash market,commercial unit
"row house-650 ayodhyapuram society vibhag - 1 s no 63/a, 73,74,78, 79, 80,83,84,block 77 (old 63/a),nrbajrangdas row house, nralpine green valley, valak, surat 395008 gujarat",houseorplot
"flat-232,floor-ground plot no 232, vasant vihar phase 2, himmatgarh, zirakpur plot no 232, vasant viharphase 2, himmatgarh, zirakpur s.a.s nagar 140603 punjab",flat
"68/884,ground floor , wea karol bagh, asaf ali road, central",flat
"1 427 427/1 0 om siddhant chsl 1 survey no 427, 427/1, alibaug, thirkul naka raigad",flat
"flat-1403,floor-14 vishwanath sarathya west blk f plot fp 64+71/3,s no 332,339/ctp 1, opp.vishwanath sarathyavip road, shela, ahmedabad ahmedabad 380058 gujarat",flat
"gata no. 8979/7, mouza vandalur, opposite primary school, patna, bihar - 406140",landparcel
office no-60-a apex commercial centre varachha main road surat surat gujarat 395006,commercial unit
"site 48,layout sri mahalakshmiavn ph-i,s no 79/1,villageothakalmandam,taluka madukkaridistrict coimbatore,door na coimbatore 641032 tamil nadu",houseorplot
"house no-425/f ews, area-36.00 sq.mtr, situated at village-kanpur road yojna, lda colony, tehsil & district-lucknow.",houseorplot
"chakra jangareddygudem mandal devarapalli village, near gubbala mangamma temple",others
"flat no-405, 4 th floot, avenue d, building no-27, global city, survey no-5, 5b, 5d, 5f, 5g, dongare village, palghar, maharashtra-401102",flat
"at naghedi r s no 119 p 1 and r s no 119 p 1 p 1 and r s no 119 p 2 sub plot no 5 1 pasarwnath park- 2 bh podar school off naghedi road, bh podar school, off naghedi road, naghedi",houseorplot
"sy. no. 2274/1, p.s. bicholi mardana, behind infopark, indore, madhya pradesh - 665513",landparcel
house no 1501 hisar sector 14 hissar,houseorplot
"a 620, 575, nikin chsl, chandresh loadha marg, achole, nallasopara east 401209, achole, nallasopara east 401209, survey no.273 of village achole,nalasopara (east), na, palghar, vasai",flat
"flat no 1601, 16th floor, building no 3, c wing, mohan altezza crist, kalyan west, thane, maharashtra, india, 421301",flat
"flat no. 574 &546, 1st floor,flat no. 52 & 906, 2nd floor, manchar, tal. ambegaon, dist. pune 410503 flat no. 893 & 828, 3rd floor, s. no. 319/742 & 930/123, near munjoba mandir, malewadi road",flat
"896/105 pudu street mnkuppam pallittenna lpallithennal viluppuram tamil nadu murugan pudu street mnkuppam pallittenna near by bus stop,murugan, near by bus stop, kandamangalam, tamil nadu, india, 605102",others
"shop no. 82, new grain market, ambla cantt",commercial unit
"flat no. t2-1207, 12th floor, wing b, tower 2, kohinoor woodshire, s no 16/1/1 and other sector r-49 bhugaon,mulshi pune 412115",flat
"property,bearing no 294,entire ground floor,without roof rights,shakti khand iv,indirapuram,ghaziabad,uttar pradesh-201014,ghaziabad,india.",flat
"913 6 the urban edge the urban edge 516,545 near by nexus mall na balapur ranga reddy hyderabad telangana 500085",flat
"flat-2107,floor-21 cybercity oriana tower 3 plot in,s no 81,101,102108-112,moosapet(v)kukatpally(m)medchal-malkajgiri dist hyderabad-ap 500018 telangana",flat
"flat-440,floor-eighth shiv vitthal residency s no 311/2 & 723/713,lokhande mala nr indira gandhi putla,narayan bapu nagar, jail road,nashik road, nashik nashik 422101 maharashtra",flat
"flat no 204,2nd floor zam zam residency 3,sayan kim road,zam zam residency 3 in sahara park,sayan,beside hazra manjil,surat,gujarat,394130 , sayan , near hazra manjil , urban , surat , gujarat , india - 394130",flat
"hno 80, at khapartone po dharmapuri tal ambajogai dist beed",houseorplot
old ward no 948 new ward no 310 old ward no 509 new ward no 755 nohar distt hanumangrh 335523 old ward no 523 new ward no 586 near bsnl office nohar,others
"dag no. 187/1808(o)/1392(n) of patta no. 21(o)/1415(n) rev village : jatia, mouza : beltola, rev circle : dispur, district :kamrup(m), assam",others
"unit-401,floor-4 sipani bliss s no 149/2 & 150/2,151/3,152/3madivala village, kasaba hobli anekal taluk, bengaluru 562106 karnataka",flat
"flat-478a-ff,floor-third six bigha plot no. 655 plot 108,six bigha, khno. 833(new), vill- nangla samawadi,alwar alwar 301001 rajasthan",flat
"flat no o/201, surya 47, nanddip residency, opp astha upvan, chosmiya road, singarwa, ahmedabad, ahmedabad, gujarat, india, 380038",flat
"plot-112 south city 2 s no rect no-275//18,22,23/124/2/1,282//2,3 etc.,sector 37village jhajjar jhajjar 124104 haryana",houseorplot
"flat,316,stilt,sector no 251 plot no 626,chikhali,pune,pune,maharashtra,411019",flat
"arazi no. 137/1 arazi no. 137/1, situated at mohalla main jhansi situated at mohalla main jhansi near ansal basera",landparcel
plot no 15 ausa ausa mch no 6092(old) nagpur tuljapur highway near aksh latur,houseorplot
hosa ananduru belagola hobli srirangapattana taluk belagola,others
"flat-701,floor-7 manasi vishwas nagar wing a s no 50(p),opp perfect gym,narhe rd, narhe. pune pune 411041 maharashtra",flat
srno 255 29 255 33 luhari road village athal new survey no 1255 near ipca laboratories ltd near ipca laboratories ltd luhari road,houseorplot
"plot 123,house at nagri,khatta194,district jamui,tehsil24/43,mouza nagri,touzi 5112 jamui 811303 bihar",houseorplot
"unit-t-418,blk-c,lig gda nand gram hsg.scheme plot na-300,gda nand gram hsgscheme, ghaziabad ghaziabad 201001 uttar pradesh",others
"nana-, khata khatauni no.- 00504, khasra no.- 19 kha, mauza- danda dhauran, pargana- parwadoon, tehsil and distt- dehradun , khasra no.- 19 kha, sapna pet hospital, sahastradhara road, dehradun, danda dhoran, dehradun, dehradun, uttarakhand, 248001",landparcel
"patta no 24 , gram khalasi , tehsil mandawa mohalla rajput swati computer center",landparcel
"plot-39 jjs garden plot 1 to 113,s no 188,190/1bpt, 2pt, 3pt, 4pt, 191/1 198/1bpt, 2pt,593/2nedukundram village chennai 600048 tamil nadu",houseorplot
"operative group housing society limited i.p. extension, patparganj, delhi-110092 flat no. kush-843, third floor, situated in the layout plan of agrasen co near balco market",flat
"uid no. b029-4283 khasra no :785//870-35//210/619-803/507-578, daba road,gt road plot no.785/143/p near oswal mill",others
"flat-402,floor-4 vrundavan villa plot 303+304+305,s no 197/1 to10p/198 199/1 200 p/201,kalanagar, n/r jio petrol pump,mhasrul shiwar, nashik nashik 422003 maharashtra",flat
"flat-604,floor-6 balaji paradise plot 31,s no 526/1(old 497)kasba solapur solapur 413001 maharashtra",flat
"flat-2,floor-second shiv vitthal residency s no 63/237 & 250/332,lokhande mala nr indira gandhi putla,narayan bapu nagar, jail road,nashik road, nashik nashik 422101 maharashtra",flat
"r.s. no. 7663/9, mandal rajarhat, opposite primary school, patna, bihar - 707973",landparcel
114/2 ward no 5 pakka bagh holi chowk khatauli holi chowk 0 pakka bagh holi chowk holi chowk,others
"khasra no. 1923/7, village bicholi mardana, behind dps school, hyderabad, telangana - 460994",landparcel
"flat no p 1002, shaligram prime, marigold circle, safal parisar road, south bopal, ahmeadabad, ahmedabad, gujarat, india, 380058",flat
na gf na na nana paltan bazar dehradun dehradun dehradun uttarakhand 248001,others
"patta num 511, book num 435 , school road , patta num 82 kh num 253 , village bhatwada gp valai th sabla , near govt school , dungarpur , rajasthan , 314022",others
"pvt flat no- 352,second floor, back side, lhs, without roof right,property bearing no- 91 and 483, khasra no- 855/47,situated in the area of village matiala, colony,matiala extension, uttam nagar,near by govt school,new delhi,delhi,110059",flat
(m)thirumalgiri (d)suryapet,others
"flat-405,floor-4 mhada - omkar chsl- bldg m1d s no cs 4-5pt,code 193,pratiksha nagar, sion (e) mumbai 400022 maharashtra",flat
"flat no. 301, 3rd floor, b wing, jinal chsl, thakur complex, off. 90 feet road, near ryan international school, kandivali east, 400101",flat
"flat-206,floor-2 wellwisher tulip bldg 2 ty 6 wing a plot 12,s no 136/1,bhansaliplot, next to druv residencypashane raigad-410101 raigarh-ms 410101 maharashtra",flat
c 114/13h i g kshipra vihar ujjain ujjain ujjain madhya pradesh 456010,others
"flat no. 1108-a, on xith floor, sdc anand prime plot no. a pratap nagar sector viii, sanganer jaipur",flat
flat no s2 2nd floor block a sabari nagar extension mugalivakkam the aura ramkay foundation 2nd main road sabari nagar park,flat
"house no.11, village daulat ganj , tehsil tal, dist. ratlam",houseorplot
"plot 7 a,s no 27/1,mouzamhasala,pargana nandgaon pethdistrict amravati,behindmalviya residency apartment,ishwar point, pachasheel squre amravati 444602 maharashtra",houseorplot
flat number 390 no.330k miju situated at mauza haripur kala pargana on second floor on bearing khasra opposite hotel regenta orkos haridwar,flat
"unit number 484, 214 floor, solaris business hub, solaris business hub, opp. national school nrpashwanath jain templa sola road bhuyangdev ahmedabad f.p no 3, r.s no 509, t.p s noo 976 ( naranpura), moje wadaj, ta-dist ahmedabad,",commercial unit
killa no 7/21/1/2 2-7 21/1/1 2-9 village ahmadpur 8/16 8-0 25 7-1 sonepat,landparcel
"flat no 1404, 14th floor tower c- auriga c, astrana, 207 (p), 208/1a/3(p), 208/1b (p), 208/3 at hadapsar, haveli, 207 (p), 208/1a/3(p), 208/1b (p), 208/3, hadpsar , 207 (p), 208/1a/3(p), 208/1b (p), 208/3 at hadapsar,",flat
"flat no.301, plot no.s 658 & 659, survey no.44/1 viswa 's alekya castle, the matrusri co-operative house society ltd, serilingampally mandal.ranga reddy dist, miyapur village, k.v.rangareddy, telangana, india, 500092",flat
"shop/office no.107 senapati bapat marg ,4th floor,phase i essgee options one phase i near naman midtown one inter",commercial unit
"room no 303,cts no 492 ward no 132 sheet no 945,street no 767,mil ni chali azad nivas,kumbharwada,nr railway fatak,bhavnagar,gujarat,364006",commercial unit
"unit no- 1a 1st floor alishaan na alipore sbi bank premises no.- 5a, alipore park road alipore kolkata calcutta west bengal 700027",flat
"plot 26,s no 102/6/a,districtmahbubnagar,colonychristianpally,mandalmahbubnagar mahbubnagar 509001 telangana",houseorplot
"portion of site no32,katha no 145/b/96/2,kowdenahalli village,kr puram hobli,bangalore east taluk,near kr puram railway station,krishnarajapuram,karnataka,560016 , portion of site no32,katha no 145/b/96/2,kowdenahalli village,kr puram hobli,bangalore east taluk,ne , , metro , bangalore , karnataka , india - 560016",houseorplot
"tenement-a/301 nandini park (s no 130,131,152,153nr ashutosh nagar no 2link roadbharuch bharuch 392001 gujarat",flat
"showroom no. ff/194, first floor, shree siddheshwar havelock, mouje village: sama, sub. dist. vadodara (vibhag - 61), reg. dist. vadodara 391740 k, opp. bansal mall, near sama cannel, sama - savli road, sama",commercial unit
"space on second floor of west side , at ��� sujaganj d.n singh road p/o ��� bhagalpur, p.s.��� kotwali ward no ��� 29, dist. ��� bhagalpur, bihar, pin ��� 812002 , mohalla ��� sujaganj d.n singh road, thana ��� kotwali,present holding no ��� 116+117a/116 part, ward no ���13/15/29 (old), new ward no ��� 38, khata no ��� 223,khesra no ��� 637 part, dist. ��� bhagalpur, bihar, pin ���812002",landparcel
"residential house in plot no. 14/1 (south side), s. no. 7/2, gp no. 1349, mauje adgaon, tal erandol, dist. jalgaon 425110",houseorplot
"flat 230, chandigarh housing board cat ii housing scheme-2001sector 51-achandigarh chandigarh 160001 chandigarh",flat
"flat-705,floor-7 majestic exotica wing b plot 102,sector 17,khandacolony, new panvel panvel 410206 maharashtra",flat
"flat-1101,floor-11 shaligram felicity - a - wing s no 194/2,block 190,fp 42 tp10(pal) b/s monarch opp satkarresidency nr oberon gauravpath road pal surat 395009 gujarat",flat
dinhata baranchina word no 64 dinhata dinhata bazar,others
"unit-145a,-north-east-part-of-628 nandgaon harnathpuraniwaru roadjaipur jaipur 302012 rajasthan",others
"property no. w-845, golf links, land craft pargana dasana village-mehrauli, near-land craft (golf link)",others
"row house-48 vrundavan homes s no 105,block 138near.mangukiya farm, pasodara,kamrej surat 395008 gujarat",houseorplot
"flat no 711,3rd floor,shantivan society road,sai pooja apartment plot no 958/b old survey no 822,new survey no 258 solsumba,near umbergaon road railway station,umbergaon,gujarat,396165",flat
733 558 begonia shalimar township niranjan pur ab road indore indore madhya pradesh 452010,flat
"apartment no, 22 avlon exotica, nr aims collage, opp knowledge sachool, vadtal road bakrol, anand, anand, gujarat, india, 388315",flat
"re-survey no. 8176/9, mouza sundarpur, opposite post office, kolkata, west bengal - 486194",landparcel
shop no. 111 karnal new grain market near market committe office,commercial unit
"flat-701,floor-7 sai dwarika wing c1 - phase 2 s no 40/1/3+40/1/4+40/1/5yewalewadi, pune pune 411040 maharashtra",flat
"malmatta kramak 393/1, ward no. 3 at po. inzori tq. manora di. washim near post office inzori.",others
"all piece and parcel of non-agriculture residential property, row house no. a/21, muni. tenement no. 0217-44-0711-0001-s construction admeasuring 158 sq. mtrs. as per tax bill in “uttamnagar society” situated on survey no. 1071, town planning scheme no. 12, final plot no. 106, 107, 108 mouje village:naroda, taluka: asarva, in the district of ahmedabad and registration sub district of ahmedabad-6– naroda.",houseorplot
khasra no 1364 situated at mauza poiya tehsil etmadpur and district agra,landparcel
s-2 2nd floor lakshmi nilayam lakshmi nilayam near icici bank film nagar film nagar hyderabad shaikpet telangana 500096,flat
"plot no 220, maa sarju vihar, village dawali, tehsil sanwer, dist, indore, indore, madhya pradesh, india, 452001",houseorplot
"flat-904,floor-9 bjbf heights tower a1, kharar, sas nagar s no 32//27,31//31/2,villagesantemajra, tehsil kharar,dist s.a.s nagar s.a.s nagar 140301 punjab",flat
"808, 8, capital icon 1, capitol icon-1, survey no 158, 159/1/3, 159/1/4, tp no 7, fp no 17, 18/1/3, 18/1 /4, mouje sargasan ta gandhinagar., nr. hari aalay, d-mart bypass road, gandhinagar, sargasan,",flat
"old r.s. no. 658, 364 & 859, new r.s. no. 847/886, t.p.s. no. 471 (vesu bharthana vesu), f.p. no. 235, shop no. 647 off. vesu canal road, vesu, tal. surat city, dist. surat raajmahal complex, 1st floor opp. ratna vilas, beside surya lifestyle, near tryiom palace",commercial unit
"row house no 01, soma swapnapurti, plot no 49, village kankradi kosbad road, landmark kankradi, dahanu west, dahanu, palghar, maharashtra, 401602.",houseorplot
property bearing no. 185 delhi university teachers chbs ltd. vaishali pitampura new delhi,flat
"unit-d-53 swagat-2 s no 169,170,171,172,176181/paiki, new 439 (old33/123/paiki 1),opp meeramultiplex,b/s swagat villagekhalikpur,modasa,arvalli sabarkantha 383315 gujarat",flat
"flat-304,floor-3 avdhoot high city phase 1 wing c plot 1,s no g.no. 809/5/6/7yashwant nagar, saradwadi road sinnar, nashik nashik 422103 maharashtra",flat
kukunoorpally mondal:kondapak,others
flat no 441 second floor plot no 242 gangwal park situated at j l n marg jaipur j l n marg jaipur 232 gangwal park situated at j l n marg j l n marg jaipur,flat
"flat no 402,04th floor,building no 37,address one phase 2 and 3 co-operative housing society ltd,gahunje,pune,maharashtra-412101,pune,india.",flat
532near petrol pump 14 motihari east champaran motihari bihar 845401,others
"all that right, title and interest in immovable property bearing flat no. 403 admeasuring about 58.27 sq. mts built up area situated 4th floor (as par plan third floor) of building no.b-4 of “opera palace”, alongwith undivided proportionate share in land underneath the said. situated and constructed on land bearing revenue survey no.135, block no.331/a, 331/b/1, 331/c (after consolidate block no.331/a) (after re survey new block no.3037) ademeasuring 4-89-24 hect.are sq.mts i.e admeasuring about 48924 sq. mts ,t. p. scheme no.47 (kholwad-bhada), original plot no.89/a, final plot no.89/a admeasuring about 29354.00 sq. mts. of village moje kholwad, sub-district kamrej, district surat.",flat
"office no. 559, 6th floor, a wing, paras business centre carter road no. 880 commercial premises csl next to kasturba marg police s",commercial unit
"flat no. 701, 7th floor, j building, j k hill park, flat no. 701 7th floor j building j k hill park near umbraya ganpati mandir s.no 151/1/3/4/5/6/8/9 dhayari pune 411041, -,near umbraya ganpati mandir dhayari , lane 28a, pune, dhayari, dhayari , haveli",flat
"survey no. 5333/2, mandal haripur, behind dps school, guntur, andhra pradesh - 330301",landparcel
"flat-3054,floor-5 synera tower 3 s no rec.18& 23,sector 81kh.no.41/1(6-8),23(8-0)24/1(4-0),8/2(2-0)villagenakhnaula gurgaon 122001 haryana",flat
"office no. 285, 6th floor, near sakinaka post office bus stop, khairani road, off saki vihar road, andheri east, taluka kurla, crescent business square, near sakinaka post office bus",commercial unit
"f-761 , sector -889 , greater noida",others
8plot no 8 sy no 448/d neev nagar bijapur plot no 8 sy no 448/d neev nagar bijapur bijapur vijayapura bijapur karnataka 586101,houseorplot
"office premises no. kg03/771, ground floor, ground, , national india building no. 884, kala ghoda buildings bhadekaru csl, cs no. 792 of fort division, , near kala ghoda, dr. v b gandhi marg, mumbai",commercial unit
"shop no. moolchand market g-782, g-240, ground floor shop no. 110,458,392 first floor rajwada",commercial unit
"flat-d817,floor-ninth fusion homes a plot gh05a,techzone iv greater noida 201306 uttar pradesh",flat
"b-58, pushpam row house, plot no. b-58, pushpam rowhouse, oldsurvey no. 42and 44, newsurvey no. 27/2,or 26, t.p.s no. 1(vesu), beside narayanbungalows,vesu surat. , b-58, beside narayan bungalows, piplod, surat, pragati nagar",houseorplot
"flat-104,floor-1 shreenathji park - b s no 210+212/6,opp chanod grampanchayat,chanod, vapi 396195 gujarat",flat
"measuring area 405.667 sq.yd. shop property id no. 308c322u15,vaka under distt. yamuna nagar abadi kheda mohalla,under mc limit,yamuna-nagar, tehsil jagadhri near panchyati gurdawra & gopa",commercial unit
"s.no378/1/1,p.no.1&2 nandurbar,tal & dist nandurbar-425412 opp dhandpaneshwar mahadev mandir nandurbar tal.& dist. nandurbar",landparcel
"immovable property, premises of ews- 51 suman nupur, pradhanmantri awas yojna, flat no. b/904 developed upon land situated in state: gujarat, district: surat, sub-district & taluka- surat city, moje: dindoli-bhestan-bhedwad, bearing t.p. scheme no. 62 dindoli-bhestan-bhedwad final plot no. 173.",flat
"unit-760 mithran residency s no 887/1e1, 19/2a2a, 2a2c1,2a2d1, 2b1, 2b4, 2b5achinnavedampatti village,coimbatore north taluk coimbatore 641049 tamil nadu",flat
house at k no. 98//9(8-0)98//11(9-0)etc. palasaur g.f. khasra no. 98//9(8-0)98//11(8-0)98//21(4-4)99//15(8-0)99//16(8-0)99//25/2(0-1)99//17/1(2-13)99//17/2 khata/khatoni:228/441 vill. palasaur near by manjeet kabadia palasaur (71) tarn taran punjab amritsar 143401,houseorplot
h no 6-33 nemtur wargal,houseorplot
. gokul park r.s. no 199 sub plot no (82 to 85)/1/1bh manda dungar gokul park mahika main road rajkot rajkot gujarat 360003,houseorplot
"ward no.347 (new)/ 689 (old), ls no. detailed in annexure a ; ph teh. raghuraj nagar mouja amodhakala uma resort satna",others
"office no .68 10th floor zion plot no 920 sector 929, kharghar toll, sion-panvel expressway, navi mumbai,",commercial unit
"unit-17-a-f-5/20-sabarmati-apt sfs year 2013 sector-17,pratap nagar jaipur 302020 rajasthan",flat
"flat no 202, madhuvan avenue, jivraj mehta, road vasna road, urban, ahmedabad, gujarat, india, 380051",flat
flat no. 174 17th floor movie tower co operative housing society ltd oshiwara complex andheri road no 53 oshiwara complex 0 movie tower co operative housing society ltd road no 53 oshiwara complex,flat
"north part of plot no.9-a & 9-b tehsil-sanganer, jaipur-302029 in scheme, shri dadudayal nagar-e, village-kalyanpura opp. govt school",houseorplot
"flat-707,floor-7 radiance majestic-tower-1 s no 152,door no.4 lamech roaddhanalakshmi road &thaimoogambikai street arcotroad valasaravakkam chennai 600087 tamil nadu",flat
"unit-ggp-a-a06/01 emmar mgf gomti greens sec a s no pockets a1 to a6,gomtinagar extension, ,sector 7amar shaheed path,, lucknow 226010 uttar pradesh",flat
"flat-19k-tower-p,floor-19 opaline sequel emerald p & q s no various s.no's,oldmahabalipuram road, navalurvillage kancheepuram 600119 tamil nadu",flat
"g f shop no 337 c.s.no. 269, sheet no 234,anjar , kachchh anjar muni. ward no 282, property no 345 manav hotel",commercial unit
"unit no. 140, 242, mythri vihar, mythri vihar, flat no,-427 on 3rd floor, mythri vihar, sy no. -80 to 708, miyapur village, serlingampally mandal, rr dist., na, indian oil petrol bunk, na, hyderabad, miyapur , sangareddy, telangana, 500049",flat
"abadi village bulara, hudbast no 874, tehsil & dist ludhiana.",others
"16-68, nanaproperty address:door no.16-68,near hyma hospital,ongole to chirala road,ramakrishnapuram,chirala mandal,bapatla district-523155. legal address:survey no.334/4 of chirala,old door no.13-121,present door no.16-68,block no. 16,ramakrishnapuram panchayat,chirala sivaru,chirala mandal,chirala s.d, bapatla distirct., na, near hyma hospital, ongole to chirala road, chirala, ramakrishnapuram, prakasam, andhra pradesh, 523155",houseorplot
